city,neighborhood,zip_code,street_name,street_number,floor,floor_location,door,property_type,construction_date,renovation_year,number_of_rooms,number_of_bedrooms,number_of_bathrooms,number_of_balconies,number_of_garages,number_of_parking,number_of_floors,number_of_units,living_area,total_area,is_barrier_free,heating_type,has_energy_certificate,has_garage,has_parking,has_balcony,price,lon,lat
Nürnberg,Rangierbahnhof-Siedlung,90471,Sonnenstraße,29,,,,,1957-01-11,,,,,,,,,8.0,506.0,611.0,,,,,False,,974829.0,11.10752,49.415836
Nürnberg,"Kornburg, Worzeldorf",90455,Wilhelm-Rieger-Straße,14,,,,single_family_house,2021-09-27,,,,,,,,,1.0,111.0,291.0,,,,,False,,442869.0,11.080972,49.37334
Nürnberg,Steinbühl,90443,Angerstraße,7,,,,multi_family_house,1954-11-07,,,,,,,,,7.0,532.0,273.0,,,,,False,,1098008.0,11.069462,49.44043
Nürnberg,Wöhrd,90489,Rahm,45,,,,multi_family_house,1957-02-13,,,,,,,,,6.0,421.0,276.0,,,,,False,,1250481.0,11.096366,49.454884
Nürnberg,Thon,90425,Am Thoner Espan,6,,,,multi_family_house,1995-02-19,,,,,,,,,6.0,461.0,504.0,,,,,False,,1730124.0,11.066921,49.475299
Nürnberg,Sandberg ,90419,Fleischmannplatz,15,,,,,1975-03-22,,,,,,,,,14.0,822.0,314.0,,,,,False,,2565984.0,11.053937999999999,49.462534
Nürnberg,Eibach,90451,Motterstraße,54 b,,,,single_family_house,1961-10-04,,,,,,,,,1.0,148.0,265.0,,,,,False,,346686.0,11.042988000000001,49.404319
Nürnberg,Gebersdorf,90449,Deberndorfer Weg,7 a,,,,single_family_house,1975-05-09,,,,,,,,,1.0,125.0,293.0,,,,,False,,328362.0,11.002826,49.43381
Nürnberg,Mögeldorf,90482,Kirchenberg,13,,,,single_family_house,1904-04-21,,,,,,,,,1.0,85.0,620.0,,,,,False,,379483.0,11.132488,49.462112
Nürnberg,Ziegelstein,90411,Kunreuther Straße,16,,,,single_family_house,1996-09-06,,,,,,,,,1.0,140.0,490.0,,,,,False,,538525.0,11.115266,49.483951
Nürnberg,Buchenbühl,90411,Zum Felsenkeller,31,,,,single_family_house,1950-01-13,,,,,,,,,1.0,113.0,774.0,,,,,False,,370825.0,11.105841999999999,49.502054
Nürnberg,Großgründlach,90427,Miltenberger Straße,29,,,,single_family_house,1990-10-17,,,,,,,,,1.0,126.0,503.0,,,,,False,,460946.0,11.015796,49.532342
Nürnberg,Nürnberg                  ,90453,Waldwinkel,40,,,,single_family_house,1969-05-04,,,,,,,,,1.0,115.0,487.0,,,,,False,,441144.0,11.025554,49.371370999999996
Nürnberg,Röthenbach West,90449,Faberstraße,34,,,,multi_family_house,1977-04-07,,,,,,,,,7.0,678.0,677.0,,,,,False,,1841777.0,11.017162,49.423684
Nürnberg,Eibach,90451,Schleichstraße,5,,,,single_family_house,1959-10-16,,,,,,,,,1.0,112.0,636.0,,,,,False,,362728.0,11.033230000000001,49.408539
Nürnberg,"Kornburg, Worzeldorf",90455,Waldmüllerstraße,22,,,,,2015-10-12,,,,,,,,,1.0,132.0,549.0,,,,,False,,577596.0,11.10341,49.373467999999995
Nürnberg,Eibach,90451,Pappenheimer Straße,37,,,,single_family_house,1968-02-20,,,,,,,,,1.0,139.0,522.0,,,,,False,,350112.0,11.032183999999999,49.395524
Nürnberg,Sündersbühl,90439,Bernadottestraße,10,,,,multi_family_house,1976-09-15,,,,,,,,,7.0,456.0,929.0,,,,,False,,1062509.0,11.039325999999999,49.44233300000001
Nürnberg,Buch ,90425,Schnepfenreuther Hauptstraße,70,,,,multi_family_house,1994-04-27,,,,,,,,,4.0,258.0,724.0,,,,,False,,795831.0,11.049018,49.485496
Nürnberg,Röthenbach Ost,90451,Fürreuthweg,95,,,,single_family_house,1954-02-15,,,,,,,,,1.0,102.0,829.0,,,,,False,,460032.0,11.0403,49.408935000000014
Nürnberg,Gugelstraße,90459,Gugelstraße,130,,,,multi_family_house,1961-11-01,,,,,,,,,9.0,776.0,277.0,,,,,False,,1309647.0,11.079216,49.432236
Nürnberg,Ziegelstein,90411,Angerburger Straße,5 a,,,,single_family_house,2001-08-01,,,,,,,,,1.0,105.0,308.0,,,,,False,,422568.0,11.106537,49.485735999999996
Nürnberg,Röthenbach Ost,90451,Glasgowstraße,7,,,,multi_family_house,2006-02-21,,,,,,,,,10.0,706.0,886.0,,,,,False,,2935642.0,11.040471,49.41717900000001
Nürnberg,Thon,90425,Wilhelmshavener Straße,14,,,,single_family_house,1971-05-24,,,,,,,,,1.0,133.0,296.0,,,,,True,,421303.0,11.063731,49.480038
Nürnberg,"Altenfurt, Moorenbrunn",90475,Gutshofstraße,31,,,,single_family_house,1922-10-16,,,,,,,,,1.0,127.0,550.0,,,,,False,,373076.0,11.168331,49.395823
Nürnberg,Thon,90425,Mittelstraße,48 A,,,,multi_family_house,2023-04-26,,,,,,,,,1.0,131.0,559.0,,,,,False,,560718.0,11.075467999999999,49.477140000000006
Nürnberg,"Altstadt, St. Lorenz",90402,Schlotfegergasse,4,,,,multi_family_house,2025-02-26,,,,,,,,,13.0,1067.0,877.0,,,,,False,,5680003.0,11.068868,49.450987
Nürnberg,Reichelsdorf,90453,Am Steinberg,53,,,,single_family_house,1944-10-10,,,,,,,,,1.0,90.0,275.0,,,,,False,,265459.0,11.035402,49.386207
Nürnberg,"Kornburg, Worzeldorf",90455,Franz-Bauer-Weg,5,,,,single_family_house,2006-09-08,,,,,,,,,1.0,109.0,350.0,,,,,True,,402221.0,11.095342,49.355735
Nürnberg,Himpfelshof,90429,Hochstraße,25,,,,multi_family_house,1995-11-11,,,,,,,,,12.0,876.0,332.0,,,,,False,,3724385.0,11.061504,49.453223
